fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
5009,1.3,3280,19.7,38506,16.6,3748,0,0,0,29.3,0,466894,12738,12,62.5,469,721,"('Votes', 'Hillary Clinton')"
5011,6.7,765,20.1,30409,31.3,640,0,0,4.2,0,176955,71522,5978,1,17.7,106,593,"('Votes', 'Hillary Clinton')"
5013,0,391,24.9,30980,14.9,0,0,0,0,0,0,17859,3263,0,8.5,312,413,"('Votes', 'Hillary Clinton')"
5015,6.8,2961,19.1,36584,18.8,3078,0,0,0,19.1,0,265358,9728,10,43.6,0,0,"('Votes', ' No Preference')"
5017,3.3,905,21.4,26201,33,916,12.2,0,0,25.1,0,67030,5446,6,18.3,247,1370,"('Votes', 'Hillary Clinton')"
5019,2.6,1804,19.9,32721,24.3,1689,0,0,0,26.8,433867,247757,10461,3,26.6,494,1650,"('Votes', 'Hillary Clinton')"
5021,0.9,1230,22.8,31502,20.2,1109,0,0,0,25.2,111760,132637,8255,3,25.2,656,960,"('Votes', 'Hillary Clinton')"
5023,2,3158,24.9,40246,15.8,3180,0,0,0,27.1,205550,282382,11169,26,46.9,316,758,"('Votes', 'Hillary Clinton')"
5025,0.4,630,27.4,39420,17.7,297,0,0,0,0,0,12265,1404,0,14.5,137,382,"('Votes', 'Hillary Clinton')"
5027,2.9,1508,16.6,35128,25.4,1859,0,0,0,23.1,1164275,197935,8143,49,32.1,306,1008,"('Votes', 'Hillary Clinton')"
5029,1.9,1534,22.2,35225,24,1876,0,0,0,16.9,432551,270351,13074,10,38.5,840,1755,"('Votes', 'Hillary Clinton')"
5031,3.7,6727,17.5,41393,20.6,8387,0,1.2,1.3,0,1830332,1440936,15768,671,136.4,1862,3543,"('Votes', 'Hillary Clinton')"
5033,4.1,5321,22,39479,20.2,4489,0,1.1,1.8,21.5,847991,452539,7666,43,104.4,874,1586,"('Votes', 'Hillary Clinton')"
5035,1.7,3541,20.2,37751,26.3,3399,22.6,3.4,0,25.2,701251,750517,14399,95,83.5,722,3379,"('Votes', 'Hillary Clinton')"
